/vin X,/vin Y,/vout X,/vout Y
5.781532621685042e-10,0.9842243798773682,5.781532621685042e-10,0.3730166646175708
5.842678722155727e-10,0.9866435056670319,5.842678722155727e-10,0.3026857259260477
5.906027054861979e-10,0.9891307001206198,5.906027054861979e-10,0.2464163384532884
5.963436619759376e-10,0.9912352262686757,5.963436619759376e-10,0.2087822130184596
6.024031126231865e-10,0.99331009602905,6.024031126231865e-10,0.1804857607237929
6.079662794805134e-10,0.9948777780858068,6.079662794805134e-10,0.1624125141528839
6.131977056948609e-10,0.9955717524830313,6.131977056948609e-10,0.1451345799148659
6.182848357091604e-10,0.9953193555758773,6.182848357091604e-10,0.1227803534298136
6.253196578380008e-10,0.9949133116148603,6.253196578380008e-10,0.08865492374151085
6.314369824640601e-10,0.9950874486312972,6.314369824640601e-10,0.06227793416024001
